longitude,latitude,result_1990,result_1991,result_1992,result_1993,result_1994,result_1995,result_1996,result_1997,result_1998,result_1999,result_2000,result_2001,result_2002,result_2003,result_2004,result_2005,result_2006,result_2007,result_2008,result_2009,result_2010,result_2011,result_2012,result_2013,result_2014,result_2015,result_2016,result_2017,result_2018,result_2019,result_2020
112,16,0,0,0,0,0,0,0,0,0,0,917.0,937.0,1023.0,1031.0,1037.0,1071.0,1066.0,1079.0,1096.0,1090.0,1010.0,1039.0,1037.0,1058.0,1136.0,679.0,795.0,798.0,807.0,758.0,762.0
113,16,0,0,0,0,0,0,0,0,0,0,450.0,401.0,339.0,316.0,290.0,338.0,315.0,280.0,365.0,430.0,281.0,363.0,356.0,388.0,453.0,367.0,230.0,243.0,253.0,295.0,292.0
108,18,310342.5428,314496.8388,318651.1348,322805.4308,326959.7268,331114.0228,334493.301,337872.5792,341251.8574,344631.1356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,18,1243021.338,1259556.459,1276091.58,1292626.7,1309161.821,1325696.942,1340196.315,1354695.688,1369195.06,1383694.433,1416812.0,1438655.0,1462271.0,1477482.0,1507674.0,1539407.0,1556664.0,1586095.0,1617982.0,1630938.0,1671692.0,1687170.0,1718143.0,1743571.0,1773612.0,1806421.0,1833370.0,1860873.0,1887658.0,1920855.0,1952074.0
110,18,526896.6198,531743.6875,536590.7551,541437.8228,546284.8904,551131.9581,554477.3094,557822.6607,561168.0119,564513.3632,1389796.0,1399851.0,1413420.0,1427018.0,1442387.0,1453133.0,1459836.0,1467715.0,1482658.0,1500522.0,1509405.0,1522282.0,1532747.0,1542903.0,1553874.0,1564999.0,1577021.0,1589517.0,1604263.0,1610821.0,1618735.0
111,18,0,0,0,0,0,0,0,0,0,0,137.0,57.0,52.0,73.0,59.0,64.0,56.0,44.0,53.0,14.0,52.0,12.0,51.0,49.0,50.0,82.0,52.0,53.0,60.0,57.0,60.0
108,19,267964.6453,271940.7031,275916.7609,279892.8188,283868.8766,287844.9344,291197.5451,294550.1557,297902.7664,301255.377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,19,1619412.778,1641332.37,1663251.963,1685171.555,1707091.148,1729010.74,1747485.322,1765959.904,1784434.486,1802909.068,1776610.0,1784003.0,1789271.0,1794385.0,1813754.0,1826893.0,1834174.0,1848129.0,1866798.0,1871570.0,1887505.0,1886489.0,1899891.0,1911511.0,1926539.0,1927828.0,1937609.0,1944612.0,1952776.0,1958970.0,1963396.0
110,19,1976774.695,2009353.237,2041931.779,2074510.321,2107088.863,2139667.405,2164998.159,2190328.913,2215659.667,2240990.421,4293446.0,4372277.0,4440856.0,4515135.0,4577709.0,4656936.0,4734952.0,4803531.0,4879932.0,4959289.0,5037661.0,5119937.0,5203080.0,5289512.0,5368254.0,5453695.0,5530525.0,5614457.0,5696791.0,5778839.0,5858896.0
111,19,111.7269655,112.4994438,113.2719221,114.0444003,114.8168786,115.5893569,116.0235669,116.4577768,116.8919868,117.3261967,772554.0,780259.0,783941.0,791813.0,802061.0,813960.0,815125.0,826686.0,833503.0,837190.0,845589.0,850090.0,861564.0,863814.0,868197.0,882332.0,892794.0,899336.0,905990.0,909400.0,915393.0
109,20,543258.9468,551464.3578,559669.7689,567875.1799,576080.591,584286.002,592005.5054,599725.0089,607444.5123,615164.0158,2600.0,3240.0,4438.0,5258.0,4716.0,4448.0,4845.0,4499.0,5510.0,5659.0,6479.0,6065.0,5642.0,5410.0,5524.0,5063.0,4895.0,4595.0,4586.0,4332.0,4202.0
110,20,1517850.859,1578670.284,1639489.708,1700309.133,1761128.557,1821947.982,1872178.15,1922408.318,1972638.485,2022868.653,2681981.0,2727234.0,2778155.0,2825031.0,2868525.0,2911323.0,2945497.0,2986693.0,3016575.0,3047262.0,3101123.0,3140671.0,3195795.0,3228187.0,3282536.0,3328244.0,3381859.0,3422748.0,3464119.0,3507041.0,3549085.0
